28.70,22.70,28.27,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:39
28.70,22.70,28.28,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:39
28.70,22.70,28.29,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:39
28.70,22.70,28.29,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:39
28.70,22.70,28.30,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:39
28.70,22.70,28.31,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:39
28.70,22.70,28.31,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:39
28.70,22.70,28.32,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:39
28.70,22.70,28.32,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:40
28.70,22.70,28.33,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:40
28.70,22.70,28.34,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:40
28.70,22.70,28.34,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:40
28.70,22.70,28.35,22.66,28.70,22.70,27.80,22.60,10/21/2017 03:40
28.80,22.70,28.35,22.66,28.80,22.70,27.80,22.60,10/21/2017 03:40
28.80,22.70,28.36,22.66,28.80,22.70,27.80,22.60,10/21/2017 03:40
28.80,22.70,28.36,22.66,28.80,22.70,27.80,22.60,10/21/2017 03:40
