20.4000,47.7000
19.3000,39.3000
19.1000,38.7000
19.0000,38.6000
18.8000,38.9000
18.7000,39.1000
18.6000,39.2000
18.6000,39.4000
18.6000,39.5000
18.5000,39.6000
18.5000,39.6000
18.4000,39.7000
18.3000,39.7000
18.3000,39.6000
18.3000,39.6000
18.1000,39.7000
18.0000,39.7000
17.8000,40.0000
17.7000,40.1000
17.7000,40.0000
17.6000,40.0000
17.6000,40.0000
17.6000,40.0000
19.3000,44.7000
19.7000,44.6000
20.0000,44.4000
20.3000,44.2000
20.4000,44.0000
20.6000,43.9000
20.9000,43.6000
21.1000,43.5000
21.3000,43.4000
21.4000,43.4000
21.5000,43.3000
21.6000,43.2000
21.8000,42.8000
22.0000,42.7000
